event_id,cumulative_total_tokens,reported_last_total_tokens,observed_delta_total_tokens,cumulative_input,reported_last_input,observed_delta_input,cumulative_cached_input,reported_last_cached_input,observed_delta_cached_input,cumulative_cache_write_input,reported_last_cache_write_input,observed_delta_cache_write_input,cumulative_output,reported_last_output,observed_delta_output,cumulative_reasoning_output,reported_last_reasoning_output,observed_delta_reasoning_output
1821,25442290,22568,22568,25227255,22384,22384,23997056,21120,21120,0,0,0,215035,184,184,98000,0,0
1830,25472212,29922,29922,25256592,29337,29337,24019200,22144,22144,0,0,0,215620,585,585,98220,220,220
1838,25514268,42056,42056,25298391,41799,41799,24048384,29184,29184,0,0,0,215877,257,257,98244,24,24
1849,25564993,50725,50725,25348712,50321,50321,24089984,41600,41600,0,0,0,216281,404,404,98274,30,30
1857,25625909,60916,60916,25409375,60663,60663,24140160,50176,50176,0,0,0,216534,253,253,98353,79,79
1864,25699438,73529,73529,25480682,71307,71307,24200704,60544,60544,0,0,0,218756,2222,2222,98869,516,516
1871,25775430,75992,75992,25554235,73553,73553,24271872,71168,71168,0,0,0,221195,2439,2439,99103,234,234
1882,25852166,76736,76736,25630286,76051,76051,24345344,73472,73472,0,0,0,221880,685,685,99363,260,260
1890,25937805,85639,85639,25715634,85348,85348,24421248,75904,75904,0,0,0,222171,291,291,99474,111,111
1897,26034149,96344,96344,25809912,94278,94278,24506496,85248,85248,0,0,0,224237,2066,2066,99990,516,516
1905,26132305,98156,98156,25906280,96368,96368,24600704,94208,94208,0,0,0,226025,1788,1788,100153,163,163
1912,26231944,99639,99639,26005677,99397,99397,24696960,96256,96256,0,0,0,226267,242,242,100224,71,71
1922,26332733,100789,100789,26105984,100307,100307,24796288,99328,99328,0,0,0,226749,482,482,100462,238,238
1930,26440797,108064,108064,26213020,107036,107036,24896512,100224,100224,0,0,0,227777,1028,1028,100652,190,190
1938,26551901,111104,111104,26321878,108858,108858,25003392,106880,106880,0,0,0,230023,2246,2246,101168,516,516
1946,26663483,111582,111582,26433093,111215,111215,25112192,108800,108800,0,0,0,230390,367,367,101305,137,137
1954,26778126,114643,114643,26545668,112575,112575,25223296,111104,111104,0,0,0,232458,2068,2068,101821,516,516
1959,26778126,114643,0,26545668,112575,0,25223296,111104,0,0,0,0,232458,2068,0,101821,516,0
1964,26896649,118523,118523,26661419,115751,115751,25252480,29184,29184,0,0,0,235230,2772,2772,101821,0,0
1972,27015424,118775,118775,26779966,118547,118547,25368064,115584,115584,0,0,0,235458,228,228,101864,43,43
1984,27136175,120751,120751,26899276,119310,119310,25486464,118400,118400,0,0,0,236899,1441,1441,103084,1220,1220
1991,27266423,130248,130248,27029298,130022,130022,25605632,119168,119168,0,0,0,237125,226,226,103191,107,107
1998,27407206,140783,140783,27169732,140434,140434,25735552,129920,129920,0,0,0,237474,349,349,103445,254,254
2024,27560581,153375,153375,27318311,148579,148579,25875840,140288,140288,0,0,0,242270,4796,4796,107970,4525,4525
2033,27723057,162476,162476,27480173,161862,161862,26024320,148480,148480,0,0,0,242884,614,614,108309,339,339
