     ● G  GAP 4.16.1 of 2026-08-23
  ● ●  A  https://www.gap-system.org
     ● P  Architecture: x86_64-pc-linux-gnu-default64-kv11
 Configuration:  gmp 6.3.0, GASMAN, readline
 Loading the library and packages ...
 Packages:   AClib 1.4, Alnuth 4.0.2, AtlasRep 2.1.12, AutoDoc 2026.06.30, 
             AutPGrp 1.12.0, Browse 1.8.23, CaratInterface 2.3.11, 
             CRISP 1.4.11, Cryst 4.1.32, CrystCat 1.1.13, CTblLib 1.3.11, 
             FactInt 1.7.0, FGA 1.5.0, Forms 1.3.0, GAPDoc 1.6.10, 
             genss 1.6.10, IO 4.10.0, IRREDSOL 1.4.6, LAGUNA 3.10.1, 
             orb 5.1.0, PackageManager 1.6.4, Polenta 1.3.11, Polycyclic 2.18, 
             PrimGrp 4.0.3, RadiRoot 2.10, recog 1.5.1, ResClasses 4.7.4, 
             SmallGrp 1.7.0, Sophus 1.27, SpinSym 1.5.2, StandardFF 1.0, 
             TomLib 1.2.11, TransGrp 3.6.5, utils 0.98
 Try '??help' for help. See also '?copyright', '?cite' and '?authors'
BEGIN dimension=5 field=5
GROUP n=6 d=1 k=128 order=768 cyclic=false affine_classes=484 ms=183
GROUP n=6 d=1 k=129 order=1536 cyclic=false affine_classes=356 ms=177
GROUP n=6 d=1 k=130 order=1536 cyclic=false affine_classes=338 ms=176
GROUP n=6 d=1 k=131 order=1536 cyclic=false affine_classes=362 ms=180
GROUP n=6 d=1 k=132 order=3072 cyclic=false affine_classes=392 ms=220
GROUP n=6 d=1 k=133 order=1536 cyclic=false affine_classes=568 ms=228
GROUP n=6 d=1 k=134 order=1536 cyclic=false affine_classes=388 ms=177
GROUP n=6 d=1 k=135 order=3072 cyclic=false affine_classes=349 ms=312
GROUP n=6 d=1 k=136 order=1536 cyclic=false affine_classes=338 ms=168
GROUP n=6 d=1 k=137 order=3072 cyclic=false affine_classes=332 ms=257
GROUP n=6 d=1 k=138 order=1536 cyclic=false affine_classes=460 ms=184
GROUP n=6 d=1 k=139 order=1536 cyclic=false affine_classes=388 ms=209
GROUP n=6 d=1 k=140 order=3072 cyclic=false affine_classes=265 ms=221
GROUP n=6 d=1 k=141 order=1536 cyclic=false affine_classes=422 ms=255
GROUP n=6 d=1 k=142 order=768 cyclic=false affine_classes=484 ms=223
GROUP n=6 d=1 k=143 order=384 cyclic=false affine_classes=800 ms=203
GROUP n=6 d=1 k=144 order=768 cyclic=false affine_classes=400 ms=167
GROUP n=6 d=1 k=145 order=24576 cyclic=false affine_classes=728 ms=775
GROUP n=6 d=1 k=146 order=24576 cyclic=false affine_classes=704 ms=600
GROUP n=6 d=1 k=147 order=6144 cyclic=false affine_classes=704 ms=675
